"cluster_id","theme","use_case","representative_terms","metrics_total_monthly_searches","metrics_avg_cpc","data_quality_notes","relevance_to_planroadmap","relevance_notes"
"cluster_01-planners_organizers","Daily Planners and Organizers","Commercial","daily planner|franklin day planner|daily journals|daily calendars|day designer planner","12890","","CPC data is not available in the provided dataset.|This is a very large cluster with high commercial intent, evidenced by brand names (Day Designer, Moleskine, Franklin Covey), product types, and date-specific queries (e.g., 'daily planner 2023'). Competition is consistently HIGH for core terms.","Medium","Related to productivity tools but more traditional than planroadmap's AI focus"
"cluster_02-executive_coaching","Executive and Leadership Coaching Services","Commercial","executive coaching|leadership development coaching|leadership coaching|executive coaching services|corporate coaching","4470","","CPC data is not available in the provided dataset.|User intent is commercial, focusing on finding and evaluating coaching services, firms, and certified professionals. Terms like 'services', 'firms', 'near me', and 'pricing' confirm this.","Medium","Could connect to professional coaching aspect but not ADHD-specific"
"cluster_03-goal_setting","Goal Setting Strategies and Frameworks","Informational","goal setting strategies|smarter goals|setting goals for success|examples of smart goals|goal of life","12980","","CPC data is not available in the provided dataset.|This cluster is strongly informational, with users seeking knowledge on methodologies (SMART goals), examples, and tools (worksheets, software). The high volume of 'smarter goals' and 'goal setting strategies' drives the cluster's search traffic.","Medium","Related to productivity but more general than planroadmap's focus"
"cluster_04-adhd_support","ADHD Support, Help, and Coping Mechanisms","Informational","add adhd support groups|adhd help|add adhd help|adhd support groups|adhd help for adults","1820","","CPC data is not available in the provided dataset.|User intent is primarily informational, focused on finding support systems (groups, counseling), understanding symptoms ('adhd and overwhelm'), and finding general help. Some terms have a slight commercial overlap (e.g., 'betterhelp adhd') but the overall theme is informational.","High","Directly aligns with planroadmap's ADHD focus and target audience"
"cluster_05-ai_business_tools","AI-Powered Business and Productivity Software","Commercial","ai assistant|contact center ai software|ai for planning|ai planning|google contact center ai","3080","","CPC data is not available in the provided dataset.|This cluster shows commercial intent as users research specific AI software solutions for business functions like call centers, planning, and general assistance. Brand-specific searches (e.g., 'google contact center ai') reinforce this classification.","High","Matches planroadmap's AI-powered toolbox offering"
"cluster_06-productivity_software","Business and Project Management Software","Commercial","ms office 365|smart sheet|workforce management software|employee management software|business management software","178710","","CPC data is not available in the provided dataset.|This massive cluster is highly commercial, dominated by searches for specific software products (e.g., 'ms office 365', 'quickbooks') and software categories (e.g., 'project management software', 'crm'). User intent is clearly focused on evaluation and purchase.","Medium","Related to productivity but too broad/general for planroadmap"
"cluster_07-task_management","Task and To-Do List Management Tools","Commercial","to do list app|task manager|best to do list app|microsoft to do|todoist","10560","","CPC data is not available in the provided dataset.|This cluster focuses on personal and team productivity tools. The intent is commercial as users are searching for specific apps and software ('todoist', 'microsoft to do') to manage their tasks and to-do lists.","High","Core to planroadmap's 'start layer' productivity focus"
"cluster_01-disaster_recovery","Disaster Recovery Solutions and Services","Commercial","disaster recovery|azure site recovery|aws disaster recovery|cloud disaster recovery|draas","11330","","CPC data is not available in the provided dataset.|This is a high-value B2B cluster with strong commercial intent. Search terms are highly specific, referencing particular cloud providers (AWS, Azure, GCP), technologies (Kubernetes, VMware), and service models (DRaaS). This indicates users are in the research and evaluation phase for enterprise-level solutions.","Low","Not relevant to planroadmap's offerings"
"cluster_02-ppc_advertising","Pay-Per-Click (PPC) Advertising","Commercial","pay per click advertising|google pay per click|ppc ads|cost per click|amazon ppc management","13950","","CPC data is not available in the provided dataset.|The use case is a mix of informational queries about pricing models ('cost per click', 'average pay per click') and commercial searches for services ('pay per click advertising agency', 'amazon ppc management'). The overall intent leans commercial as users are businesses looking to engage in or optimize paid advertising.","Low","Not relevant to planroadmap's offerings"
"cluster_03-website_blockers","Website and Ad Blocking Software","Commercial","website blocker|site blocker|block sites on chrome|ad block for youtube safari|cold turkey blocker","6220","","CPC data is not available in the provided dataset.|User intent is commercial, focusing on finding and downloading software to block distracting websites or advertisements. Queries are often platform-specific (Chrome, Safari, Android) or mention specific product names, indicating a search for a solution to purchase or install.","Low","Not relevant to planroadmap's offerings"
