text,avg_monthly_searches,competition_level
information theory and statistical mechanics,10,LOW
a mathematical theory of information,10,LOW
ce shannon a mathematical theory of communication,0,UNSPECIFIED
claude shannon communication theory,10,UNSPECIFIED
communication and information theory,10,LOW
foundations and trends in communications and information theory,10,UNSPECIFIED
information communication theory,10,LOW
information theory claude shannon 1948,10,UNSPECIFIED
mathematical theory of information,10,LOW
shannon theory of communication,10,LOW
statistical communication theory,10,UNSPECIFIED
statistical mechanics and information theory,0,UNSPECIFIED
statistical theory of communication,10,UNSPECIFIED
the mathematical theory of information,10,UNSPECIFIED
empirical tests of qualia realism,0,UNSPECIFIED
informationtheoretic measures of synergy and redundancy in the brain,0,UNSPECIFIED
phenomenal partwhole relations,0,UNSPECIFIED
systemlevel models of emotional regulation and dysregulation,0,UNSPECIFIED
phenomenal field theory,10,UNSPECIFIED
empirical philosophy of mind,0,UNSPECIFIED
binding problem formalism,0,UNSPECIFIED
computational models of curiosity,0,UNSPECIFIED
causal inference from optogenetic manipulation of neural circuits,0,UNSPECIFIED
phenomenal binding failure modes,0,UNSPECIFIED
foundational models of consciousness based on gauge theory,0,UNSPECIFIED
empirical validation of theories of emotion,0,UNSPECIFIED
hierarchical models of language acquisition,0,UNSPECIFIED
empirical studies of connectome harmonics in synesthesia,0,UNSPECIFIED
information theory and communication,10,UNSPECIFIED
quantitative history and cliodynamics,0,UNSPECIFIED
empirical constraints on consciousness theories,0,UNSPECIFIED
reproducible experimental paradigms,0,UNSPECIFIED
rigorous psychophysical methods for quantifying the structure of internal space,0,UNSPECIFIED
rigorous psychophysical experiments on hedonic adaptation,0,UNSPECIFIED
systemlevel models of the economy,0,UNSPECIFIED
insilico screening for nootropic compounds,0,UNSPECIFIED
psychedelic statespace dynamics,0,UNSPECIFIED
latent trajectory models of recovery from psychological trauma,0,UNSPECIFIED
peerreviewed phenomenological data,0,UNSPECIFIED
frontier exploration of the phenomenological differences between psychedelics,0,UNSPECIFIED
qualia topologies,0,UNSPECIFIED
