text,avg_monthly_searches,competition
aprendizaje personalizado,10,LOW
automatización de tareas administrativas,10,HIGH
ia para crear cuestionarios,10,UNSPECIFIED
plataforma de gestión académica,10,UNSPECIFIED
accesibilidad en la educación,10,LOW
aprendizaje diferenciado,10,UNSPECIFIED
plataforma de onboarding,10,UNSPECIFIED
capacitación en herramientas digitales,10,UNSPECIFIED
herramientas para docentes,10,HIGH
ia para crear contenido,10,MEDIUM
alternativa moodle,10,UNSPECIFIED
inteligencia artificial para crear contenido,10,UNSPECIFIED
alternativas a moodle,10,UNSPECIFIED
herramientas digitales para docentes,10,HIGH
herramientas educativas para docentes,10,MEDIUM
alternativa a moodle,10,UNSPECIFIED
herramientas digitales para profesores,0,UNSPECIFIED
herramientas digitales para docentes gratuitas,10,UNSPECIFIED
herramientas educativas digitales para docentes,0,UNSPECIFIED
ia para generar contenido,10,UNSPECIFIED
creacion de contenido inteligencia artificial,10,UNSPECIFIED
herramientas pedagógicas de apoyo a la labor docente,10,UNSPECIFIED
recursos digitales para docentes,10,MEDIUM
accesibilidad a la educacion,10,UNSPECIFIED
accesibilidad cognitiva en centros educativos,10,LOW
accesibilidad cognitiva en los centros educativos,10,LOW
accesibilidad curricular,0,UNSPECIFIED
accesibilidad educativa,10,LOW
accesibilidad educativa ejemplos,10,UNSPECIFIED
accesibilidad en centros educativos,0,UNSPECIFIED
accesibilidad en educacion,10,UNSPECIFIED
accesibilidad en la educación inclusiva,0,UNSPECIFIED
accesibilidad en las escuelas,0,UNSPECIFIED
accesibilidad en los centros educativos,10,UNSPECIFIED
accesibilidad escolar,0,UNSPECIFIED
accesibilidad tic y educación,10,UNSPECIFIED
aprendizaje personalizado con tic,0,UNSPECIFIED
aprendizaje personalizado ejemplos,10,UNSPECIFIED
aprendizaje personalizado pdf,10,UNSPECIFIED
asistencia tecnológica educación especial,0,UNSPECIFIED
automatización de las funciones administrativas,0,UNSPECIFIED
canva docente,70,LOW
canva educacion profesores,10,LOW
canva para docente,110,LOW
canva para docentes,110,LOW
canva para educacion profesores,10,UNSPECIFIED
canva para maestros,10,UNSPECIFIED
canva para profesores,10,LOW
canva pro docentes,10,LOW
canva pro para docentes,20,LOW
canva pro para profesores,10,LOW
canva pro profesores,10,LOW
capacitacion de herramientas digitales,10,UNSPECIFIED
classcraft profesor,0,UNSPECIFIED
classroom docente,10,LOW
classroom para docentes,10,UNSPECIFIED
classroom para maestros,10,UNSPECIFIED
classroom para profesores,10,UNSPECIFIED
classroom profesor,10,LOW
docente tics,10,UNSPECIFIED
docentes y las tics,10,UNSPECIFIED
docentes y tics,10,UNSPECIFIED
edmodo para profesores,10,UNSPECIFIED
educacion accesible,10,LOW
